Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,59.06746549,32,49.14300073,0,1.1,0,15,8,12,000
-0,-0,-0,58.98160485,32,49.246018,0,1.2,0,15,8,12,000
-0,-0,-0,58.89556455,32,49.34888526,0,1.3,0,15,8,12,000
-0,-0,-0,58.80934484,32,49.4516022,0,1.4,0,15,8,12,000
-0,-0,-0,58.72294598,32,49.5541685,0,1.5,0,15,8,12,000
-0,-0,-0,58.63636824,32,49.65658385,0,1.6,0,15,8,12,000
-0,-0,-0,58.54961189,32,49.75884793,0,1.7,0,15,8,12,000
-0,-0,-0,58.46267719,32,49.86096044,0,1.8,0,15,8,12,000
-0,-0,-0,58.37556439,32,49.96292107,0,1.9,0,15,8,12,000
-0,-0,-0,58.28827378,32,50.0647295,0,2,0,15,8,12,000
-0,-0,-0,58.20080561,32,50.16638542,0,2.1,0,15,8,12,000
-0,-0,-0,58.11316015,32,50.26788853,0,2.2,0,15,8,12,000
-0,-0,-0,58.02533767,32,50.36923852,0,2.3,0,15,8,12,000
-0,-0,-0,57.93733843,32,50.47043507,0,2.4,0,15,8,12,000
-0,-0,-0,57.8491627,32,50.57147788,0,2.5,0,15,8,12,000
-0,-0,-0,57.76081076,32,50.67236664,0,2.6,0,15,8,12,000
-0,-0,-0,57.67228286,32,50.77310104,0,2.7,0,15,8,12,000
-0,-0,-0,57.58357929,32,50.87368078,0,2.8,0,15,8,12,000
-0,-0,-0,57.49470031,32,50.97410555,0,2.9,0,15,8,12,000
-0,-0,-0,57.40564619,32,51.07437504,0,3,0,15,8,12,000
-0,-0,-0,57.3164172,32,51.17448895,0,3.1,0,15,8,12,000
-0,-0,-0,57.22701361,32,51.27444698,0,3.2,0,15,8,12,000
-0,-0,-0,57.1374357,32,51.37424882,0,3.3,0,15,8,12,000
-0,-0,-0,57.04768374,32,51.47389415,0,3.4,0,15,8,12,000
-0,-0,-0,56.95775801,32,51.5733827,0,3.5,0,15,8,12,000
-0,-0,-0,56.86765877,32,51.67271414,0,3.6,0,15,8,12,000
-0,-0,-0,56.7773863,32,51.77188817,0,3.7,0,15,8,12,000
-0,-0,-0,56.68694088,32,51.8709045,0,3.8,0,15,8,12,000
-0,-0,-0,56.59632278,32,51.96976282,0,3.9,0,15,8,12,000
-0,-0,-0,56.50553228,32,52.06846284,0,4,0,15,8,12,000
-0,-0,-0,56.41456965,32,52.16700424,0,4.1,0,15,8,12,000
-0,-0,-0,56.32343517,32,52.26538673,0,4.2,0,15,8,12,000
-0,-0,-0,56.23212912,32,52.36361002,0,4.3,0,15,8,12,000
-0,-0,-0,56.14065178,32,52.46167379,0,4.4,0,15,8,12,000
-0,-0,-0,56.04900343,32,52.55957776,0,4.5,0,15,8,12,000
-0,-0,-0,55.95718434,32,52.65732163,0,4.6,0,15,8,12,000
-0,-0,-0,55.86519479,32,52.75490509,0,4.7,0,15,8,12,000
-0,-0,-0,55.77303508,32,52.85232784,0,4.8,0,15,8,12,000
-0,-0,-0,55.68070546,32,52.94958961,0,4.9,0,15,8,12,000
-0,-0,-0,55.58820623,32,53.04669007,0,5,0,15,8,12,000
-0,-0,-0,55.49553768,32,53.14362895,0,5.1,0,15,8,12,000
-0,-0,-0,55.40270007,32,53.24040595,0,5.2,0,15,8,12,000
-0,-0,-0,55.30969369,32,53.33702076,0,5.3,0,15,8,12,000
-0,-0,-0,55.21651884,32,53.4334731,0,5.4,0,15,8,12,000
-0,-0,-0,55.12317578,32,53.52976267,0,5.5,0,15,8,12,000
-0,-0,-0,55.02966481,32,53.62588918,0,5.6,0,15,8,12,000
-0,-0,-0,54.93598621,32,53.72185234,0,5.7,0,15,8,12,000
-0,-0,-0,54.84214026,32,53.81765185,0,5.8,0,15,8,12,000
-0,-0,-0,54.74812726,32,53.91328743,0,5.9,0,15,8,12,000
-0,-0,-0,54.65394749,32,54.00875877,0,6,0,15,8,12,000
-0,-0,-0,54.55960122,32,54.1040656,0,6.1,0,15,8,12,000
-0,-0,-0,54.46508876,32,54.19920761,0,6.2,0,15,8,12,000
-0,-0,-0,54.37041039,32,54.29418453,0,6.3,0,15,8,12,000
-0,-0,-0,54.2755664,32,54.38899605,0,6.4,0,15,8,12,000
-0,-0,-0,54.18055708,32,54.4836419,0,6.5,0,15,8,12,000
-0,-0,-0,54.08538271,32,54.57812178,0,6.6,0,15,8,12,000
-0,-0,-0,53.99004359,32,54.6724354,0,6.7,0,15,8,12,000
-0,-0,-0,53.89454001,32,54.76658249,0,6.8,0,15,8,12,000
-0,-0,-0,53.79887225,32,54.86056274,0,6.9,0,15,8,12,000
-0,-0,-0,53.70304062,32,54.95437588,0,7,0,15,8,12,000
-0,-0,-0,53.60704539,32,55.04802162,0,7.1,0,15,8,12,000
-0,-0,-0,53.51088687,32,55.14149968,0,7.2,0,15,8,12,000
-0,-0,-0,53.41456534,32,55.23480976,0,7.3,0,15,8,12,000
-0,-0,-0,53.31808111,32,55.32795159,0,7.4,0,15,8,12,000
-0,-0,-0,53.22143446,32,55.42092488,0,7.5,0,15,8,12,000
-0,-0,-0,53.12462568,32,55.51372935,0,7.6,0,15,8,12,000
-0,-0,-0,53.02765508,32,55.60636471,0,7.7,0,15,8,12,000
-0,-0,-0,52.93052295,32,55.69883069,0,7.8,0,15,8,12,000
-0,-0,-0,52.83322958,32,55.791127,0,7.9,0,15,8,12,000
-0,-0,-0,52.73577528,32,55.88325336,0,8,0,15,8,12,000
-0,-0,-0,52.63816033,32,55.97520949,0,8.1,0,15,8,12,000
-0,-0,-0,52.54038504,32,56.06699511,0,8.2,0,15,8,12,000
-0,-0,-0,52.4424497,32,56.15860994,0,8.3,0,15,8,12,000
-0,-0,-0,52.34435461,32,56.2500537,0,8.4,0,15,8,12,000
-0,-0,-0,52.24610007,32,56.34132611,0,8.5,0,15,8,12,000
