Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,60,32.91558002,47.37683603,1.1,0,0,15,8,12,000
-0,-0,-0,60,32.99821803,47.31931537,1.2,0,0,15,8,12,000
-0,-0,-0,60,33.08075551,47.26165057,1.3,0,0,15,8,12,000
-0,-0,-0,60,33.16319222,47.20384181,1.4,0,0,15,8,12,000
-0,-0,-0,60,33.24552792,47.14588925,1.5,0,0,15,8,12,000
-0,-0,-0,60,33.32776234,47.08779308,1.6,0,0,15,8,12,000
-0,-0,-0,60,33.40989524,47.02955348,1.7,0,0,15,8,12,000
-0,-0,-0,60,33.49192637,46.97117061,1.8,0,0,15,8,12,000
-0,-0,-0,60,33.57385547,46.91264466,1.9,0,0,15,8,12,000
-0,-0,-0,60,33.65568231,46.8539758,2,0,0,15,8,12,000
-0,-0,-0,60,33.73740662,46.79516422,2.1,0,0,15,8,12,000
-0,-0,-0,60,33.81902816,46.7362101,2.2,0,0,15,8,12,000
-0,-0,-0,60,33.90054669,46.6771136,2.3,0,0,15,8,12,000
-0,-0,-0,60,33.98196194,46.61787493,2.4,0,0,15,8,12,000
-0,-0,-0,60,34.06327368,46.55849424,2.5,0,0,15,8,12,000
-0,-0,-0,60,34.14448166,46.49897173,2.6,0,0,15,8,12,000
-0,-0,-0,60,34.22558563,46.43930758,2.7,0,0,15,8,12,000
-0,-0,-0,60,34.30658535,46.37950196,2.8,0,0,15,8,12,000
-0,-0,-0,60,34.38748055,46.31955506,2.9,0,0,15,8,12,000
-0,-0,-0,60,34.46827101,46.25946707,3,0,0,15,8,12,000
-0,-0,-0,60,34.54895647,46.19923816,3.1,0,0,15,8,12,000
-0,-0,-0,60,34.62953669,46.13886852,3.2,0,0,15,8,12,000
-0,-0,-0,60,34.71001143,46.07835833,3.3,0,0,15,8,12,000
-0,-0,-0,60,34.79038043,46.01770779,3.4,0,0,15,8,12,000
-0,-0,-0,60,34.87064345,45.95691706,3.5,0,0,15,8,12,000
-0,-0,-0,60,34.95080025,45.89598634,3.6,0,0,15,8,12,000
-0,-0,-0,60,35.03085058,45.83491581,3.7,0,0,15,8,12,000
-0,-0,-0,60,35.1107942,45.77370567,3.8,0,0,15,8,12,000
-0,-0,-0,60,35.19063087,45.71235608,3.9,0,0,15,8,12,000
-0,-0,-0,60,35.27036035,45.65086725,4,0,0,15,8,12,000
-0,-0,-0,60,35.34998238,45.58923936,4.1,0,0,15,8,12,000
-0,-0,-0,60,35.42949673,45.5274726,4.2,0,0,15,8,12,000
-0,-0,-0,60,35.50890316,45.46556715,4.3,0,0,15,8,12,000
-0,-0,-0,60,35.58820142,45.40352321,4.4,0,0,15,8,12,000
-0,-0,-0,60,35.66739127,45.34134096,4.5,0,0,15,8,12,000
-0,-0,-0,60,35.74647248,45.27902059,4.6,0,0,15,8,12,000
-0,-0,-0,60,35.82544479,45.21656229,4.7,0,0,15,8,12,000
-0,-0,-0,60,35.90430798,45.15396626,4.8,0,0,15,8,12,000
-0,-0,-0,60,35.98306179,45.09123268,4.9,0,0,15,8,12,000
-0,-0,-0,60,36.06170599,45.02836174,5,0,0,15,8,12,000
-0,-0,-0,60,36.14024034,44.96535364,5.1,0,0,15,8,12,000
-0,-0,-0,60,36.21866461,44.90220857,5.2,0,0,15,8,12,000
-0,-0,-0,60,36.29697854,44.83892671,5.3,0,0,15,8,12,000
-0,-0,-0,60,36.37518191,44.77550827,5.4,0,0,15,8,12,000
-0,-0,-0,60,36.45327447,44.71195344,5.5,0,0,15,8,12,000
-0,-0,-0,60,36.53125599,44.64826241,5.6,0,0,15,8,12,000
-0,-0,-0,60,36.60912623,44.58443537,5.7,0,0,15,8,12,000
-0,-0,-0,60,36.68688495,44.52047251,5.8,0,0,15,8,12,000
-0,-0,-0,60,36.76453191,44.45637404,5.9,0,0,15,8,12,000
-0,-0,-0,60,36.84206689,44.39214015,6,0,0,15,8,12,000
-0,-0,-0,60,36.91948964,44.32777104,6.1,0,0,15,8,12,000
-0,-0,-0,60,36.99679992,44.26326689,6.2,0,0,15,8,12,000
-0,-0,-0,60,37.07399751,44.19862791,6.3,0,0,15,8,12,000
-0,-0,-0,60,37.15108216,44.13385429,6.4,0,0,15,8,12,000
-0,-0,-0,60,37.22805364,44.06894623,6.5,0,0,15,8,12,000
-0,-0,-0,60,37.30491172,44.00390393,6.6,0,0,15,8,12,000
-0,-0,-0,60,37.38165617,43.93872759,6.7,0,0,15,8,12,000
-0,-0,-0,60,37.45828674,43.8734174,6.8,0,0,15,8,12,000
-0,-0,-0,60,37.53480321,43.80797357,6.9,0,0,15,8,12,000
-0,-0,-0,60,37.61120534,43.74239629,7,0,0,15,8,12,000
-0,-0,-0,60,37.6874929,43.67668576,7.1,0,0,15,8,12,000
-0,-0,-0,60,37.76366565,43.61084219,7.2,0,0,15,8,12,000
-0,-0,-0,60,37.83972338,43.54486577,7.3,0,0,15,8,12,000
