Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,60.60326088,30.84225624,48,0,0,1.1,15,8,12,000
-0,-0,-0,60.65699844,30.73643668,48,0,0,1.2,15,8,12,000
-0,-0,-0,60.71055123,30.63052348,48,0,0,1.3,15,8,12,000
-0,-0,-0,60.76391909,30.52451698,48,0,0,1.4,15,8,12,000
-0,-0,-0,60.81710184,30.4184175,48,0,0,1.5,15,8,12,000
-0,-0,-0,60.87009934,30.31222536,48,0,0,1.6,15,8,12,000
-0,-0,-0,60.92291142,30.20594088,48,0,0,1.7,15,8,12,000
-0,-0,-0,60.97553791,30.09956439,48,0,0,1.8,15,8,12,000
-0,-0,-0,61.02797866,29.99309621,48,0,0,1.9,15,8,12,000
-0,-0,-0,61.08023352,29.88653666,48,0,0,2,15,8,12,000
-0,-0,-0,61.13230231,29.77988608,48,0,0,2.1,15,8,12,000
-0,-0,-0,61.18418488,29.67314478,48,0,0,2.2,15,8,12,000
-0,-0,-0,61.23588107,29.56631309,48,0,0,2.3,15,8,12,000
-0,-0,-0,61.28739073,29.45939134,48,0,0,2.4,15,8,12,000
-0,-0,-0,61.33871369,29.35237985,48,0,0,2.5,15,8,12,000
-0,-0,-0,61.38984981,29.24527895,48,0,0,2.6,15,8,12,000
-0,-0,-0,61.44079892,29.13808896,48,0,0,2.7,15,8,12,000
-0,-0,-0,61.49156087,29.03081021,48,0,0,2.8,15,8,12,000
-0,-0,-0,61.54213551,28.92344303,48,0,0,2.9,15,8,12,000
-0,-0,-0,61.59252269,28.81598774,48,0,0,3,15,8,12,000
-0,-0,-0,61.64272224,28.70844467,48,0,0,3.1,15,8,12,000
-0,-0,-0,61.69273401,28.60081415,48,0,0,3.2,15,8,12,000
-0,-0,-0,61.74255786,28.49309651,48,0,0,3.3,15,8,12,000
-0,-0,-0,61.79219363,28.38529208,48,0,0,3.4,15,8,12,000
-0,-0,-0,61.84164117,28.27740118,48,0,0,3.5,15,8,12,000
-0,-0,-0,61.89090033,28.16942414,48,0,0,3.6,15,8,12,000
-0,-0,-0,61.93997096,28.06136129,48,0,0,3.7,15,8,12,000
-0,-0,-0,61.98885291,27.95321296,48,0,0,3.8,15,8,12,000
-0,-0,-0,62.03754603,27.84497948,48,0,0,3.9,15,8,12,000
-0,-0,-0,62.08605018,27.73666118,48,0,0,4,15,8,12,000
-0,-0,-0,62.13436519,27.62825839,48,0,0,4.1,15,8,12,000
-0,-0,-0,62.18249094,27.51977144,48,0,0,4.2,15,8,12,000
-0,-0,-0,62.23042727,27.41120066,48,0,0,4.3,15,8,12,000
-0,-0,-0,62.27817403,27.30254638,48,0,0,4.4,15,8,12,000
-0,-0,-0,62.32573109,27.19380894,48,0,0,4.5,15,8,12,000
-0,-0,-0,62.37309829,27.08498865,48,0,0,4.6,15,8,12,000
-0,-0,-0,62.42027549,26.97608586,48,0,0,4.7,15,8,12,000
-0,-0,-0,62.46726254,26.8671009,48,0,0,4.8,15,8,12,000
-0,-0,-0,62.51405931,26.75803409,48,0,0,4.9,15,8,12,000
-0,-0,-0,62.56066565,26.64888577,48,0,0,5,15,8,12,000
-0,-0,-0,62.60708142,26.53965628,48,0,0,5.1,15,8,12,000
-0,-0,-0,62.65330648,26.43034594,48,0,0,5.2,15,8,12,000
-0,-0,-0,62.69934069,26.3209551,48,0,0,5.3,15,8,12,000
-0,-0,-0,62.7451839,26.21148407,48,0,0,5.4,15,8,12,000
-0,-0,-0,62.79083598,26.1019332,48,0,0,5.5,15,8,12,000
-0,-0,-0,62.83629679,25.99230281,48,0,0,5.6,15,8,12,000
-0,-0,-0,62.88156619,25.88259325,48,0,0,5.7,15,8,12,000
-0,-0,-0,62.92664404,25.77280485,48,0,0,5.8,15,8,12,000
-0,-0,-0,62.9715302,25.66293794,48,0,0,5.9,15,8,12,000
-0,-0,-0,63.01622455,25.55299286,48,0,0,6,15,8,12,000
-0,-0,-0,63.06072693,25.44296993,48,0,0,6.1,15,8,12,000
-0,-0,-0,63.10503722,25.3328695,48,0,0,6.2,15,8,12,000
-0,-0,-0,63.14915528,25.22269191,48,0,0,6.3,15,8,12,000
-0,-0,-0,63.19308098,25.11243748,48,0,0,6.4,15,8,12,000
-0,-0,-0,63.23681418,25.00210656,48,0,0,6.5,15,8,12,000
-0,-0,-0,63.28035475,24.89169947,48,0,0,6.6,15,8,12,000
-0,-0,-0,63.32370256,24.78121656,48,0,0,6.7,15,8,12,000
-0,-0,-0,63.36685747,24.67065816,48,0,0,6.8,15,8,12,000
-0,-0,-0,63.40981936,24.56002461,48,0,0,6.9,15,8,12,000
-0,-0,-0,63.45258809,24.44931625,48,0,0,7,15,8,12,000
-0,-0,-0,63.49516353,24.33853341,48,0,0,7.1,15,8,12,000
-0,-0,-0,63.53754555,24.22767643,48,0,0,7.2,15,8,12,000
-0,-0,-0,63.57973403,24.11674565,48,0,0,7.3,15,8,12,000
-0,-0,-0,63.62172883,24.0057414,48,0,0,7.4,15,8,12,000
-0,-0,-0,63.66352983,23.89466403,48,0,0,7.5,15,8,12,000
-0,-0,-0,63.7051369,23.78351387,48,0,0,7.6,15,8,12,000
-0,-0,-0,63.74654992,23.67229127,48,0,0,7.7,15,8,12,000
-0,-0,-0,63.78776875,23.56099655,48,0,0,7.8,15,8,12,000
-0,-0,-0,63.82879327,23.44963006,48,0,0,7.9,15,8,12,000
-0,-0,-0,63.86962336,23.33819214,48,0,0,8,15,8,12,000
-0,-0,-0,63.91025888,23.22668313,48,0,0,8.1,15,8,12,000
-0,-0,-0,63.95069973,23.11510337,48,0,0,8.2,15,8,12,000
-0,-0,-0,63.99094578,23.00345319,48,0,0,8.3,15,8,12,000
-0,-0,-0,64.03099689,22.89173294,48,0,0,8.4,15,8,12,000
-0,-0,-0,64.07085296,22.77994296,48,0,0,8.5,15,8,12,000
-0,-0,-0,64.11051385,22.66808359,48,0,0,8.6,15,8,12,000
-0,-0,-0,64.14997946,22.55615516,48,0,0,8.7,15,8,12,000
-0,-0,-0,64.18924965,22.44415803,48,0,0,8.8,15,8,12,000
-0,-0,-0,64.22832431,22.33209253,48,0,0,8.9,15,8,12,000
-0,-0,-0,64.26720332,22.219959,48,0,0,9,15,8,12,000
-0,-0,-0,64.30588656,22.10775778,48,0,0,9.1,15,8,12,000
-0,-0,-0,64.34437391,21.99548922,48,0,0,9.2,15,8,12,000
-0,-0,-0,64.38266526,21.88315366,48,0,0,9.3,15,8,12,000
-0,-0,-0,64.42076049,21.77075144,48,0,0,9.4,15,8,12,000
-0,-0,-0,64.45865948,21.6582829,48,0,0,9.5,15,8,12,000
-0,-0,-0,64.49636212,21.54574838,48,0,0,9.6,15,8,12,000
-0,-0,-0,64.53386829,21.43314824,48,0,0,9.7,15,8,12,000
-0,-0,-0,64.57117788,21.3204828,48,0,0,9.8,15,8,12,000
-0,-0,-0,64.60829078,21.20775242,48,0,0,9.9,15,8,12,000
-0,-0,-0,64.64520687,21.09495744,48,0,0,10,15,8,12,000
-0,-0,-0,64.68192603,20.98209819,48,0,0,10.1,15,8,12,000
-0,-0,-0,64.71844817,20.86917504,48,0,0,10.2,15,8,12,000
-0,-0,-0,64.75477316,20.75618831,48,0,0,10.3,15,8,12,000
-0,-0,-0,64.7909009,20.64313835,48,0,0,10.4,15,8,12,000
-0,-0,-0,64.82683127,20.53002551,48,0,0,10.5,15,8,12,000
-0,-0,-0,64.86256417,20.41685014,48,0,0,10.6,15,8,12,000
-0,-0,-0,64.89809948,20.30361257,48,0,0,10.7,15,8,12,000
-0,-0,-0,64.93343711,20.19031315,48,0,0,10.8,15,8,12,000
-0,-0,-0,64.96857694,20.07695223,48,0,0,10.9,15,8,12,000
-0,-0,-0,65.00351886,19.96353015,48,0,0,11,15,8,12,000
-0,-0,-0,65.03826277,19.85004726,48,0,0,11.1,15,8,12,000
-0,-0,-0,65.07280856,19.7365039,48,0,0,11.2,15,8,12,000
-0,-0,-0,65.10715613,19.62290042,48,0,0,11.3,15,8,12,000
-0,-0,-0,65.14130537,19.50923717,48,0,0,11.4,15,8,12,000
-0,-0,-0,65.17525618,19.39551448,48,0,0,11.5,15,8,12,000
-0,-0,-0,65.20900845,19.28173272,48,0,0,11.6,15,8,12,000
-0,-0,-0,65.24256209,19.16789222,48,0,0,11.7,15,8,12,000
-0,-0,-0,65.27591698,19.05399333,48,0,0,11.8,15,8,12,000
-0,-0,-0,65.30907304,18.9400364,48,0,0,11.9,15,8,12,000
-0,-0,-0,65.34203015,18.82602177,48,0,0,12,15,8,12,000
-0,-0,-0,65.37478822,18.7119498,48,0,0,12.1,15,8,12,000
-0,-0,-0,65.40734714,18.59782083,48,0,0,12.2,15,8,12,000
-0,-0,-0,65.43970683,18.48363521,48,0,0,12.3,15,8,12,000
